subj_idx,ss_presented,inhibited,ssd,rt
3,0,-999,-999.0,479.0
3,1,0,350.0,390.0
3,0,-999,-999.0,715.0
3,1,0,300.0,508.0
3,0,-999,-999.0,768.0
3,1,0,250.0,368.0
3,0,-999,-999.0,534.0
3,1,1,200.0,-999.0
3,0,-999,-999.0,477.0
3,0,-999,-999.0,517.0
3,0,-999,-999.0,546.0
3,0,-999,-999.0,663.0
3,0,-999,-999.0,450.0
3,0,-999,-999.0,271.0
3,1,0,250.0,380.0
3,0,-999,-999.0,518.0
3,1,0,200.0,346.0
3,1,0,150.0,326.0
3,0,-999,-999.0,332.0
3,0,-999,-999.0,387.0
3,1,0,100.0,490.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,531.0
3,0,-999,-999.0,377.0
3,0,-999,-999.0,449.0
3,0,-999,-999.0,526.0
3,0,-999,-999.0,587.0
3,1,1,100.0,-999.0
3,0,-999,-999.0,432.0
3,0,-999,-999.0,453.0
3,0,-999,-999.0,550.0
3,0,-999,-999.0,452.0
3,1,0,150.0,558.0
3,0,-999,-999.0,456.0
3,0,-999,-999.0,364.0
3,0,-999,-999.0,567.0
3,1,0,100.0,296.0
3,0,-999,-999.0,655.0
3,1,0,50.0,572.0
3,0,-999,-999.0,485.0
3,0,-999,-999.0,496.0
3,0,-999,-999.0,380.0
3,0,-999,-999.0,291.0
3,0,-999,-999.0,495.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,347.0
3,0,-999,-999.0,642.0
3,0,-999,-999.0,310.0
3,0,-999,-999.0,727.0
3,0,-999,-999.0,602.0
3,0,-999,-999.0,376.0
3,0,-999,-999.0,517.0
3,1,1,100.0,-999.0
3,0,-999,-999.0,610.0
3,0,-999,-999.0,509.0
3,1,1,300.0,-999.0
3,0,-999,-999.0,837.0
3,0,-999,-999.0,598.0
3,1,1,100.0,-999.0
3,0,-999,-999.0,695.0
3,0,-999,-999.0,1131.0
3,0,-999,-999.0,568.0
3,0,-999,-999.0,938.0
3,0,-999,-999.0,857.0
3,0,-999,-999.0,364.0
3,0,-999,-999.0,530.0
3,0,-999,-999.0,743.0
3,0,-999,-999.0,461.0
3,0,-999,-999.0,624.0
3,1,1,150.0,-999.0
3,1,0,200.0,652.0
3,1,0,150.0,503.0
3,0,-999,-999.0,366.0
3,0,-999,-999.0,472.0
3,1,0,100.0,1230.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,571.0
3,0,-999,-999.0,463.0
3,1,0,100.0,798.0
3,0,-999,-999.0,574.0
3,0,-999,-999.0,711.0
3,0,-999,-999.0,909.0
3,0,-999,-999.0,645.0
3,0,-999,-999.0,666.0
3,1,0,50.0,702.0
3,0,-999,-999.0,554.0
3,0,-999,-999.0,580.0
3,0,-999,-999.0,756.0
3,0,-999,-999.0,336.0
3,0,-999,-999.0,366.0
3,1,0,150.0,679.0
3,0,-999,-999.0,491.0
3,0,-999,-999.0,348.0
3,0,-999,-999.0,500.0
3,0,-999,-999.0,665.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,422.0
3,0,-999,-999.0,459.0
3,0,-999,-999.0,574.0
3,1,1,100.0,-999.0
3,1,1,150.0,-999.0
3,0,-999,-999.0,69.0
3,0,-999,-999.0,378.0
3,0,-999,-999.0,767.0
3,0,-999,-999.0,503.0
3,0,-999,-999.0,438.0
3,1,0,200.0,449.0
3,0,-999,-999.0,570.0
3,0,-999,-999.0,507.0
3,0,-999,-999.0,530.0
3,1,0,150.0,488.0
3,0,-999,-999.0,534.0
3,0,-999,-999.0,622.0
3,1,0,100.0,387.0
3,1,0,50.0,506.0
3,0,-999,-999.0,609.0
3,0,-999,-999.0,685.0
3,0,-999,-999.0,619.0
3,0,-999,-999.0,625.0
3,0,-999,-999.0,646.0
3,0,-999,-999.0,413.0
3,1,0,50.0,468.0
3,1,0,100.0,487.0
3,0,-999,-999.0,543.0
3,0,-999,-999.0,383.0
3,0,-999,-999.0,621.0
3,1,0,50.0,986.0
3,0,-999,-999.0,479.0
3,0,-999,-999.0,517.0
3,0,-999,-999.0,317.0
3,0,-999,-999.0,357.0
3,0,-999,-999.0,378.0
3,0,-999,-999.0,551.0
3,0,-999,-999.0,674.0
3,1,0,50.0,454.0
3,0,-999,-999.0,527.0
3,0,-999,-999.0,588.0
3,0,-999,-999.0,575.0
3,1,0,50.0,658.0
3,0,-999,-999.0,535.0
3,0,-999,-999.0,452.0
3,0,-999,-999.0,532.0
3,0,-999,-999.0,481.0
3,0,-999,-999.0,548.0
3,0,-999,-999.0,557.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,587.0
3,0,-999,-999.0,725.0
3,0,-999,-999.0,620.0
3,1,0,100.0,806.0
3,0,-999,-999.0,668.0
3,0,-999,-999.0,560.0
3,0,-999,-999.0,704.0
3,0,-999,-999.0,951.0
3,0,-999,-999.0,318.0
3,1,0,50.0,846.0
3,0,-999,-999.0,475.0
3,0,-999,-999.0,604.0
3,0,-999,-999.0,970.0
3,1,1,50.0,-999.0
3,1,1,100.0,-999.0
3,0,-999,-999.0,1095.0
3,0,-999,-999.0,499.0
3,0,-999,-999.0,545.0
3,0,-999,-999.0,436.0
3,0,-999,-999.0,478.0
3,0,-999,-999.0,575.0
3,0,-999,-999.0,600.0
3,1,0,150.0,475.0
3,0,-999,-999.0,613.0
3,0,-999,-999.0,432.0
3,0,-999,-999.0,350.0
3,0,-999,-999.0,661.0
3,0,-999,-999.0,415.0
3,0,-999,-999.0,346.0
3,0,-999,-999.0,322.0
3,1,0,50.0,553.0
3,1,0,100.0,365.0
3,0,-999,-999.0,400.0
3,1,0,50.0,651.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,485.0
3,1,1,50.0,-999.0
3,0,-999,-999.0,514.0
4,0,-999,-999.0,521.0
4,0,-999,-999.0,43.0
4,0,-999,-999.0,386.0
4,0,-999,-999.0,436.0
4,0,-999,-999.0,355.0
4,0,-999,-999.0,332.0
4,0,-999,-999.0,218.0
4,0,-999,-999.0,222.0
4,1,1,50.0,-999.0
4,0,-999,-999.0,406.0
4,0,-999,-999.0,424.0
4,0,-999,-999.0,253.0
4,1,1,50.0,-999.0
4,0,-999,-999.0,333.0
4,1,0,100.0,330.0
4,0,-999,-999.0,468.0
4,1,1,50.0,-999.0
4,0,-999,-999.0,355.0
4,1,0,100.0,290.0
4,1,1,50.0,-999.0
4,0,-999,-999.0,472.0
4,1,1,100.0,-999.0
4,0,-999,-999.0,335.0
4,0,-999,-999.0,354.0
4,1,1,150.0,-999.0
4,1,1,200.0,-999.0
4,0,-999,-999.0,446.0
4,1,0,250.0,394.0
4,0,-999,-999.0,580.0
4,1,1,200.0,-999.0
4,0,-999,-999.0,454.0
4,0,-999,-999.0,448.0
4,0,-999,-999.0,510.0
4,1,0,250.0,339.0
4,0,-999,-999.0,215.0
4,0,-999,-999.0,591.0
4,0,-999,-999.0,375.0
4,0,-999,-999.0,437.0
4,0,-999,-999.0,509.0
4,0,-999,-999.0,443.0
4,0,-999,-999.0,409.0
4,0,-999,-999.0,347.0
4,0,-999,-999.0,321.0
4,1,0,200.0,364.0
4,1,1,150.0,-999.0
4,0,-999,-999.0,297.0
4,0,-999,-999.0,348.0
4,0,-999,-999.0,332.0
